CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
FELONY ASSAULT,01/20/2025 05:05:00 PM,25-003115,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,34X,8539 BANCROFT AV,Oakland,CA,POINT (-122.16835 37.75697)
PETTY THEFT,01/24/2025 07:35:00 PM,25-003866,THEFT,31Z,505 105TH AV,Oakland,CA,POINT (-122.17956 37.73133)
PETTY THEFT,01/26/2025 09:00:00 PM,25-004441,THEFT,08X,420 FAIRMOUNT AV,Oakland,CA,POINT (-122.2557 37.81928)
PETTY THEFT,02/02/2025 05:25:00 PM,25-005232,THEFT,35X,9026 BANCROFT AV,Oakland,CA,POINT (-122.16523 37.75314)
PETTY THEFT,02/07/2025 11:57:00 AM,25-005849,THEFT,07X,3700 MANDELA PKWY,Oakland,CA,POINT (-122.28692 37.82768)
PETTY THEFT,02/04/2025 12:00:00 AM,25-006673,THEFT,28X,2950 MORCOM AV,Oakland,CA,POINT (-122.19111 37.77834)
BURG - RESIDENTIAL,02/15/2025 10:10:00 PM,25-007119,BURGLARY-FORCIBLE ENTRY,11X,715 62ND ST,Oakland,CA,POINT (-122.26915 37.8472)
PETTY THEFT,02/15/2025 09:00:00 PM,25-007323,THEFT,35Y,4821 GRASS VALLEY RD,Oakland,CA,POINT (-122.12038 37.75244)
ROBBERY,02/22/2025 10:00:00 PM,25-008445,ROBBERY-FIREARM,77X,UNKNOWN,Oakland,CA,
MISDEMEANOR ASSAULT,02/25/2025 12:02:00 PM,25-008767,THEFT,24X,4039 BROOKDALE AV,Oakland,CA,POINT (-122.2053 37.78353)
ARSON,02/28/2025 06:00:00 PM,25-009437,ATTEMPT ARSON,19X,1246 20TH AV,Oakland,CA,POINT (-122.24023 37.78556)
PETTY THEFT,02/25/2025 10:00:00 AM,25-009684,THEFT,20X,2615 E 12TH ST,Oakland,CA,POINT (-122.2331 37.77956)
BURG - AUTO,03/07/2025 11:23:00 AM,25-010438,BURGLARY-AUTO,77X,9725 14TH ST,Oakland,CA,POINT (-122.17116 37.74458)
PETTY THEFT,03/08/2025 07:00:00 PM,25-011041,THEFT,22X,3809 LINCOLN AV,Oakland,CA,POINT (-122.21079 37.80304)
DUI,03/15/2025 08:02:00 PM,25-011865,DUI ALCOHOL/DRUGS,30X,2111 CHURCH ST,Oakland,CA,POINT (-122.18395 37.7653)
PETTY THEFT,03/17/2025 10:36:00 AM,25-012056,THEFT,77X,UNKNOWN,Oakland,CA,
PETTY THEFT,03/01/2025 02:30:00 PM,25-012102,THEFT,19X,37 8TH AV,Oakland,CA,POINT (-122.25928 37.78734)
VANDALISM,03/17/2025 05:30:00 AM,25-012161,TAMPER WITH VEHICLE,25X,22 FIELDBROOK PL,Oakland,CA,POINT (-122.18093 37.79475)
GRAND THEFT,03/26/2025 05:00:00 PM,25-013548,THEFT,04X,2050 WEBSTER ST,Oakland,CA,POINT (-122.266 37.80914)
